"Time","Humidity Run 1","Light Run 1","Pressure Run 1","Pressure Run 1","Sound Run 1","Temperature Run 1",Comment
"s","%RH","lx","kPa","kPa","dBA","°C"
"480","46.6","225","99.3","98.97","69.6","28.5"
"480.96","46.6","226","99.3","98.94","58.1","28.3"
"481.92","46.6","225","99.2","98.94","55.4","28.1"
"482.88","46.6","226","99.2","98.97","54.9","27.9"
"483.84","46.6","229","99.2","98.92","62.8","27.7"
"484.8","46.5","228","99.0","98.95","57.4","27.5"
"485.76","46.5","224","99.0","98.94","64.3","27.4"
"486.72","46.5","226","97.8","98.94","88.3","27.3"
"487.68","46.5","233","97.8","98.93","68.0","27.1"
"488.64","46.5","225","97.8","98.98","54.3","27.0"
"489.6","46.5","229","97.8","98.95","78.5","26.8"
"490.56","46.5","230","97.8","98.95","56.7","26.7"
"491.52","46.5","223","97.8","98.96","67.7","26.6"
"492.48","46.5","224","97.8","98.95","51.6","26.5"
"493.44","46.5","227","97.8","98.94","76.3","26.4"
"494.4","46.5","224","97.8","98.96","71.2","26.3"
"495.36","46.5","229","97.8","98.95","70.7","26.2"
"496.32","46.5","235","97.8","98.96","42.7","26.1"
"497.28","46.4","235","97.8","98.93","40.0","26.0"
"498.24","46.4","235","97.8","98.96","67.7","26.0"
"499.2","46.4","235","97.8","98.92","40.0","25.9"
"500.16","46.4","235","97.8","98.95","40.0","25.8"
"501.12","46.4","235","97.8","98.96","40.0","25.7"
"502.08","46.4","236","97.8","98.95","40.0","25.7"
"503.04","46.4","238","97.8","98.98","40.0","25.6"
"504","46.4","239","97.8","98.96","71.5","25.6"
"504.96","46.4","240","97.8","98.92","69.6","25.5"
"505.92","46.4","239","97.8","98.96","66.9","25.5"
"506.88","46.3","240","97.8","98.93","58.8","25.4"
"507.84","46.3","240","97.8","98.96","53.1","25.4"
"508.8","46.3","240","97.8","98.98","41.2","25.3"
"509.76","46.3","239","97.8","98.95","55.3","25.2"
"510.72","46.3","239","97.8","98.95","56.9","25.2"
"511.68","46.3","238","97.8","98.93","71.0","25.1"
"512.64","46.3","238","97.8","98.96","62.5","25.1"
"513.6","46.3","238","97.8","98.95","65.9","25.1"
"514.56","46.3","238","97.8","98.91","71.8","25.1"
"515.52","46.3","238","97.8","98.95","40.0","25.0"
"516.48","46.2","238","97.8","98.96","40.0","25.0"
"517.44","46.2","237","97.8","98.94","50.7","25.0"
"518.4","46.2","236","97.8","99.00","63.3","24.9"
"519.36","46.2","234","97.8","98.95","72.1","24.9"
"520.32","46.2","234","97.8","98.94","58.5","24.9"
"521.28","46.2","234","97.8","98.93","51.9","24.8"
"522.24","46.2","201","97.8","98.96","73.0","24.8"
"523.2","46.2","31","97.6","98.94","46.9","24.8"
"524.16","46.2","9","97.8","98.95","40.0","24.8"
"525.12","46.1","6","97.8","98.97","46.4","24.7"
"526.08","46.1","5","97.8","98.93","40.0","24.7"
"527.04","46.1","5","97.6","98.96","65.1","24.7"
"528","46.1","5","97.6","98.94","57.3","24.7"
"528.96","46.1","176","97.8","98.97","62.0","24.7"
"529.92","46.1","223","97.8","98.97","73.5","24.7"
"530.88","46.1","228","97.8","98.96","73.4","24.7"
